Agency,MMR Goal,Critical,Performance Indicator,FY13,FY14,FY15,FY16,FY17,TGT17,TGT18,5 Yr Trend,Desired Direction
HRA,6a, FALSE,"Customer satisfaction rating for Public Health Insurance Program services “good” or ""excellent"" (%)",88.00%,91.00%,92.00%,93.00%,93.00%,*,*,Neutral,Up
DEP,2a, TRUE,Catch basin backup resolution time (days),3.1,3.9,3.1,4,4.9,9,9,Up,Down
HRA,2a, TRUE,Cash assistance family cases participating in work or work-related activities per federal guidelines (official federal fiscal year-to-date average) (%),34.10%,33.90%,34.10%,33.40%,NA,34.00%,34.00%,NA,Up
DOT,7a, FALSE,Calls answered in 30 seconds (%),45%,47%,61%,21%,12%,*,*,Down,Up
BPL,NA, FALSE,Libraries open seven days per week (%),3%,3%,3%,8%,8%,8%,8%,Up,Up
BIC,1a, TRUE,Violations issued to legally operating private waste haulers,897,733,827,709,343,*,*,Down,*
TLC,1e, FALSE,TLC driver complaints received,"21,111","20,075","19,257","23,927","22,918",*,*,Up,*
DOP,2b, FALSE,Adult supervision- new individual action plans (IAPs) created for eligible clients (%),NA,NA,NA,100.00%,100.00%,*,*,NA,*
DDC,1a, TRUE,Active design projects: Difference between projected and scheduled duration (%),1.60%,2.00%,1.30%,-0.40%,-0.50%,1.50%,1.50%,Down,Down
FDNY,2b, FALSE,Average ambulance tours per day,993,"1,025","1,057","1,105","1,145",*,*,Up,*
DPR,6a, FALSE,Letters routed and responded to in 14 days (%),37%,30%,43%,47%,74%,60%,60%,Up,Up
FDNY,3a, FALSE,Fire workplace injuries reported (uniform and civilian),"8,447","7,655","7,850","8,113","8,406",*,*,Neutral,Down
HRA,6a, FALSE,CORE facility rating,83,90,90,86,86,80,80,Neutral,Up
DHS,3b, TRUE,Adult families who exited to permanent housing and returned to the DHS shelter services system within one year (%),15.00%,12.50%,14.20%,8.70%,11.50%,12.50%,12.50%,Down,Down
NYPD,6a, FALSE,Calls answered in 30 seconds (%),99%,99%,99%,99%,99%,*,*,Neutral,Up
DOC,4a, FALSE,Workplace injuries reported,"2,545","3,599","2,417","2,222","3,435",*,*,Neutral,Down
DYCD,4a, FALSE,Value of intracity agreements ($000),"$4,246","$5,366","$9,460","$6,945","$6,940",*,*,Up,*
CCHR,1a, FALSE,Pre-complaint resolutions,163,189,165,200,310,*,*,Up,Up
DOF,2b, FALSE,Parking ticket appeals granted a reversal (%),9.90%,12.80%,14.00%,10.00%,21.00%,*,*,Up,Down
DEP,5a, FALSE,Noise complaints received,"36,130","45,584","53,862","61,784","58,892",*,*,Up,*
DEP,2a, FALSE,Average time to repair or replace high-priority broken or inoperative hydrants (days),2.7,3.1,2.5,2.9,2.5,7,7,Neutral,Down
DOHMH,4a, TRUE,Deaths from unintentional drug overdose (CY),725,786,793,939,"1,374",↓,↓,Up,Down
NYPD,5a, FALSE,"Collisions involving City vehicles (per 100,000 miles)",5.3,3.5,3.2,3.9,4.6,*,*,Neutral,Down
DHS,3a, FALSE,Families with children exiting to permanent housing,NA,NA,"8,220","8,294","8,558",*,*,NA,Up
DCAS,5b, TRUE,Annual estimated reduction in greenhouse gas emissions from all energy projects (metric tons),"5,690","7,893","40,984","14,459","43,833","4,269","50,229",Up,*
DCAS,8a, FALSE,E-mails responded to in 14 days (%),89%,80%,74%,81%,85%,*,*,Neutral,Up
BIC,1b, TRUE,Average age of pending waste hauling applications (days),198,221,208,214,220,180,180,Neutral,Down
DPR,4a, TRUE,Total recreation center memberships,"131,824","159,789","159,431","162,062","161,514",↑,↑,Up,Up
NYCHH,1c, FALSE,Outpatient satisfaction rate (%),76.50%,76.90%,77.60%,77.80%,81.30%,80.00%,80.00%,Neutral,Up
DEP,7a, FALSE,Completed customer requests for interpretation,"11,023","13,870","12,976","13,685","13,783",*,*,Up,*
DOHMH,6a, FALSE,All summonses issued,"67,203","66,711","64,625","59,067","57,780",*,*,Down,*
DOT,3a, FALSE,Select Bus Service ridership (000) (annual),"28,535","36,961","45,200","65,433","77,902",*,*,Up,Up
DEP,4b, FALSE,Billed amount collected in 30 days (%),55.40%,56.70%,61.80%,63.10%,60.80%,*,*,Up,Up
DDC,1a, TRUE,Active construction projects: Early/on time (%),86%,88%,84%,90%,88%,82%,82%,Neutral,Up
NYPD,3a, FALSE,Graffiti arrests,"3,502","3,167","2,687","2,123","1,750",*,*,Down,*
ACS,2a, FALSE,Fiscal year spending per child - Family child care vouchers,"$7,385","$7,500","$7,575","$7,659","$8,322",*,*,Up,*
NYPL,NA, FALSE,Wireless sessions,"2,792,196","2,424,966","1,644,366","2,650,115","3,045,409","2,800,000","2,600,000",Up,Up
CUNY,NA, FALSE,Students earning Grade C or better in Freshman Composition Courses (%),84.70%,84.90%,83.80%,84.10%,84.10%,*,*,Neutral,Up
CCRB,1a, FALSE,Total civilian complaints against uniformed members of the New York City Police Department,"5,455","5,573","4,165","4,711","4,215",*,*,Down,*
HPD,5b, FALSE,Percent meeting time to close - Pests (30 days),66%,64%,55%,59%,59%,59%,59%,Down,*
DCAS,1a, FALSE,Applications received for open competitive civil service exams,"75,825","74,700","184,849","79,878","170,031",*,*,Up,*
DOE,2b, FALSE,Students with disabilities in cohort dropping out from high school in 6 years (%) (NYSED),25.60%,24.40%,NA,NA,NA,*,*,NA,Down
ACS,1e, FALSE,Kinship Guardianship Assistance discharges,119,251,275,343,378,*,*,Up,Up
DPR,6b, FALSE,Percent meeting time to first action - New Tree Request - For One Address (180 days),98%,98%,99%,90%,91%,90%,90%,Neutral,*
DOT,1a, FALSE,– Poor (%),0.10%,0.10%,0.00%,0.00%,0.00%,*,*,Down,Down
FDNY,1c, TRUE,Firefighter injuries,"9,273","8,663","8,926","9,416","9,643",↓,↓,Neutral,Down
DOT,7a, FALSE,CORE customer experience rating (0-100),92,97,95,98,100,90,95,Neutral,Up
DOI,1a, FALSE,VENDEX checks completed within 30 days (%),93%,88%,99%,95%,98%,95%,95%,Neutral,Up
DOB,1c, TRUE,Average wait time for an electrical inspection (days),6.3,6.1,5.2,6.4,6.5,6,6,Neutral,Down
HRA,4a, TRUE,Average number of days from submission of a completed application to approval or denial of enhanced housing benefits to keep HASA clients in stable housing,7,8.4,7.6,7,6.9,8,8,Neutral,Down
DOE,2b, FALSE,Students recommended for special education services,"15,259","27,651","28,995","29,179","29,410",*,*,Up,*
DEP,4b, TRUE,Total revenue as percent of target (%),104.40%,105.20%,105.30%,104.50%,104.30%,100.00%,100.00%,Neutral,Up
DCAS,5a, FALSE,Total energy purchased (British Thermal Units) (trillions),27.5,28.9,29.5,28.4,28.8,*,*,Neutral,Down
NYCEM,1b, FALSE,Participation in drills coordinated by other agencies or organizations,29,35,44,53,41,*,*,Up,Up
DHS,3a, FALSE,– unsubsidized,NA,NA,"5,677","4,636","4,362",*,*,NA,Up
DDC,1a, FALSE,Total design projects completed early/on time (%),87%,86%,84%,87%,90%,88%,88%,Neutral,Up
TLC,1b, TRUE,FHV safety and emissions failure rate  - Initial inspection (%),44.90%,40.60%,36.20%,33.20%,30.30%,45.00%,45.00%,Down,Down
DYCD,4a, FALSE,Contracts funded,"2,888","2,691","3,046","2,502","2,995",*,*,Neutral,*
DHS,6a, FALSE,Completed requests for interpretation,"4,087","4,195","6,445","8,164","13,357",*,*,Up,*
CCHR,1a, TRUE,Cases closed,480,602,608,336,536,*,*,Down,*
DOP,1b, FALSE,– high-risk (%),8.00%,7.00%,6.00%,7.00%,11.00%,*,*,Up,*
DYCD,1a, TRUE,COMPASS NYC programs meeting target enrollment (school year) (%),96%,95%,96%,94%,96%,85%,85%,Neutral,Up
LPC,2a, FALSE,E-mails responded to in 14 days (%),99%,100%,100%,98%,98.75%,*,*,Neutral,Up
DOF,7a, FALSE,Average customer in-person wait time (minutes),7,17,9,4,5,12,12,Down,Down
DSNY,5a, FALSE,Violations admitted to or upheld at the Environmental Control Board (%),84%,86%,88%,89%,86%,*,*,Neutral,*
DOE,1a, FALSE,Students in graduating class with a 65 to 100 passing score on the Regents Examination - English (%),88.70%,75.70%,78.40%,79.10%,NA,80.00%,80.00%,NA,Up
ACS,3a, TRUE,"Average length of stay, detention (days)",29,29,23,21,23,↓,↓,Down,Down
DOF,3a, FALSE,SCRIE renewal applications received,"22,670","21,239","23,321","27,760","25,091",*,*,Up,*
DCAS,5c, TRUE,Cumulative installed solar capacity (kilowatts),428.5,428.5,"2,759.10","7,996.00","7,996.00",↑,↑,Up,Up
HPD,1b, FALSE,Emergency violations corrected by HPD (%),15%,14%,12%,11%,10%,*,*,Down,Down
FDNY,3a, FALSE,Apparatus collisions (fire companies),447,451,480,464,465,*,*,Neutral,Down
BPL,NA, FALSE,Reference queries (000),"3,525","4,053","4,406","4,008","4,106","4,008","4,103",Up,Up
HRA,5a, FALSE,Fair hearings upheld (%),NA,7.00%,5.20%,7.90%,9.60%,*,*,NA,Up
DCAS,7a, FALSE,– Employees of DCAS-managed fleet agencies trained in defensive driving,NA,"1,798","1,879","1,690","1,881",*,"2,000",NA,Up
DoITT,1c, FALSE,Projects on schedule (%),75%,85%,87%,88%,88%,75%,80%,Up,Up
DEP,3a, TRUE,WWTPs - Critical equipment out-of-service (% below minimum),3.10%,1.90%,2.50%,2.10%,1.80%,5.00%,5.00%,Down,Down
311,1a, TRUE,Calls answered in 30 seconds (%),81%,83%,84%,89%,85%,80%,80%,Neutral,Up
ACS,1c, FALSE,– Children in nonrelative foster boarding homes,"7,398","6,915","6,533","5,845","5,351",*,*,Down,Down
DEP,7b, FALSE,Percent meeting time to first action - Water Maintenance - Hydrant Running (2 days),86%,86%,85%,85%,86%,85%,85%,Neutral,*
NYCHH,1a, FALSE,Hospital-acquired Central Line-Associated Bloodstream Infection (CLABSI) rate,1.133,0.89,0.94,0.9,1.47,1,1,Up,Down
NYPD,1a, TRUE,– Robbery,"19,319","18,208","16,428","16,670","14,759",↓,↓,Down,Down
DOHMH,3a, FALSE,Day care initial site inspections,"23,024","20,091","21,800","22,032","21,478",*,*,Neutral,*
DPR,1a, FALSE,– Cleanliness of greenstreets (%),98%,99%,99%,99%,99%,*,*,Neutral,Up
DOHMH,4b, FALSE,New children receiving services from the Early Intervention Program (000),13.8,13.7,14.3,14.4,14,*,*,Neutral,*
DOF,1a, FALSE,Average turnaround time for audits (days),632,677,479,504,413,*,*,Down,Down
DSNY,5a, FALSE,Paper recycling revenue per ton ($),$11,$11,$11,$12,$14,*,*,Up,*
DHS,2b, TRUE,"Critical incidents in the adult shelter system, per 1,000 residents",NA,NA,NA,NA,2.8,↓,↓,NA,Down
311,1a, FALSE,Call takers time occupied (%),78%,79%,77%,74%,73%,*,*,Neutral,Up
ACS,3b, TRUE,Residents seen within 24 hours of sick call report (%),100%,100%,100%,100%,100%,100%,100%,Neutral,Up
DEP,7a, FALSE,CORE customer experience rating (0-100),91,95,95,100,97,90,90,Neutral,Up
ACS,1a, FALSE,Children in complete investigations with repeat investigations within a year (%),24.30%,24.20%,24.40%,23.80%,23.90%,*,*,Neutral,Down
FDNY,1a, TRUE,Structural fires,"25,278","25,902","27,189","26,922","26,075",↓,↓,Neutral,Down
NYPD,1a, TRUE,– Felonious assault,"19,616","20,517","19,544","20,877","20,651",↓,↓,Neutral,Down
DOE,1a, TRUE,Students in cohort dropping out from high school in 4 years (%) (NYSED),10.60%,9.70%,9.00%,8.50%,NA,8.00%,7.50%,NA,Down
DOE,1b, FALSE,Phone calls responded to by parent coordinator or parent engagement designee (000),"3,682","3,910","5,458","6,060","6,473","5,000","5,000",Up,Up
FDNY,4a, FALSE,Completed requests for interpretation,"2,891","3,721","4,501","5,484","5,098",*,*,Up,*
DCAS,6a, FALSE,Vehicles with highest emission ratings purchased pursuant to Local Law 38 in the citywide fleet (%),94%,99%,98%,98%,100%,95%,95%,Neutral,Up
DOB,2c, FALSE,Incident inspections resulting in violations (%),79.60%,75.20%,70.40%,63.10%,64.30%,*,*,Down,*
TLC,3a, FALSE,Completed customer requests for interpretation,"7,990","5,721","5,336","6,880","7,247",*,*,Neutral,*
CUNY,NA, FALSE,High school students participating in college preparation program (College Now),"28,415","30,025","30,606","31,855","31,445",*,*,Up,*
DEP,7a, FALSE,E-mails responded to in 14 days (%),94%,88%,86%,93%,100%,95%,95%,Neutral,Up
DOE,2a, FALSE,Students enrolled as English Language Learners (000),160,154,150,151,160,*,*,Neutral,*
FDNY,1a, FALSE,Violation orders issued,"40,946","44,860","43,542","44,376","56,001",*,*,Up,*
DOHMH,4a, FALSE,New buprenorphine patients (CY) (quarterly),"9,620","8,487","7,046","6,950","6,894","8,000","7,300",Down,*
DOT,6a, FALSE,Payout ($000),"$71,747","$63,272","$50,636","$62,940","$95,495",*,*,Up,Down
DDC,1a, TRUE,Active design projects: Early/on time (%),84%,86%,88%,84%,83%,88%,88%,Neutral,Up
NYPD,1c, TRUE,Average response time to all crimes in progress (dispatch and travel time only) (minutes),9,8.5,9.3,9.1,8,↓,↓,Neutral,Down
ACS,3a, FALSE,Admissions to Close to Home placement,NA,348,258,238,222,*,*,NA,Down
NYPD,1c, FALSE,Crime in progress calls,NA,NA,"275,032","261,992","255,489",*,*,NA,*
DOE,1a, FALSE,Students in grades 1 to 9 promoted (%),94.50%,94.70%,96.00%,96.30%,96.70%,98.00%,98.00%,Neutral,Up
DCA,1b, FALSE,Weights and Measures Law compliance rate - gasoline pumps (%),97%,99%,99%,100%,99%,98%,98%,Neutral,Up
ACS,2a, TRUE,Average EarlyLearn Utilization (%),71.40%,82.10%,81.80%,83.40%,81.90%,85.00%,85.00%,Up,Up
SBS,3a, TRUE,City block faces receiving supplemental sanitation services through BIDs,"1,468","1,480","3,562","3,600","4,044","3,800","3,800",Up,Up
DOI,3a, FALSE,Completed requests for interpretation,38,17,24,26,23,*,*,Down,*
DCAS,1b, TRUE,New hires - Hispanic (%),19.20%,19.40%,19.80%,19.50%,21.50%,*,*,Neutral,*
BIC,1a, TRUE,Violations issued to private waste haulers,"1,145",888,"1,166",892,640,*,*,Down,*
ACS,3a, TRUE,"Illegal substance/prescription or OTC medication recovery rate (average per 100 total ADP), detention",0.04,0.07,0.09,0.07,0.07,↓,↓,Up,Down
DOE,1a, FALSE,Student enrollment as of October 31 in grades pre-kindergarten to 12 (000),"1,094.90","1,104.50","1,122.80","1,134.00","1,141.20",*,*,Neutral,*
DOHMH,2b, FALSE,Adult New Yorkers without health insurance (%) (CY),19.80%,20.90%,13.80%,12.60%,10.90%,11.20%,10.00%,Down,Down
DOT,3a, TRUE,Staten Island Ferry - Trips that are on time (%),88.60%,91.10%,92.10%,92.30%,92.80%,90.00%,90.00%,Neutral,Up
DCP,4a, FALSE,Completed customer requests for interpretation,4,1,2,6,12,*,*,Up,*
DCA,2b, FALSE,Businesses educated through direct outreach,"11,217","34,865","22,659","17,072","16,186",*,*,Down,Up
NYPL,NA, TRUE,Circulation (000),"25,949","24,722","23,296","22,723","23,778","22,100","22,100",Neutral,Up
DFTA,2b, TRUE,Hours of home care services provided,"890,232","996,105","906,442","1,102,019","1,207,529","961,500","961,500",Up,Up
DOF,2b, FALSE,– Hearings-by-mail,"473,411","453,399","401,422","343,601","318,373",*,*,Down,*
TLC,2a, FALSE,– Boro Taxis,NA,"5,048","7,077","7,237","6,313",*,*,NA,*
DEP,1b, FALSE,Overall enforcement activity,983,"1,207","1,206","1,658","1,893",*,*,Up,*
DOC,1a, FALSE,Admissions,"81,758","77,141","67,672","63,758","58,226",*,*,Down,*
DOE,5a, FALSE,Workplace injuries reported,"3,091","2,986","3,120","2,997","3,102",*,*,Neutral,Down
DHS,2b, FALSE,Cost per day for shelter facilities - Single adult facilities ($) (annual),$74.80,$78.38,$78.80,$94.57,$99.46,*,*,Up,*
DOB,2a, FALSE,Priority B (nonemergency) complaints received,"58,983","70,089","63,160","70,661","74,240",*,*,Up,*
DOE,5a, FALSE,Teachers,"73,844","74,103","74,922","76,351","77,446",*,*,Neutral,*
QPL,NA, FALSE,Computers for public use,"1,869","1,904","1,963","1,967","9,494","10,000","12,000",Up,Up
DOE,1a, FALSE,– High school (%),86.80%,87.00%,87.90%,87.80%,87.90%,89.60%,89.90%,Neutral,Up
HRA,2c, FALSE,Total child support cases with active orders (end of period),"287,426","285,173","283,114","282,451","282,013",*,*,Neutral,Up
NYPD,6b, FALSE,Percent meeting time to close – Noise - Street/Sidewalk (0.3 days),94,96,95,90,87,*,*,Neutral,*
DCA,1b, FALSE,Weights and Measures Law compliance rate - fuel trucks (%),80%,78%,70%,68%,71%,72%,72%,Down,Up
DOC,4a, FALSE,Collisions involving City vehicles,60,104,103,107,116,*,*,Up,Down
DOC,1a, FALSE,Average daily population,"11,827","11,408","10,240","9,790","9,500",*,*,Down,Down
HRA,1b, FALSE,– Cash assistance households receiving SNAP benefits (000),196.7,186.4,195.5,198.9,196.3,*,*,Neutral,*
DOE,2b, TRUE,Students in special education scoring below standards progressing into a higher level  - English Language Arts (%),3.40%,6.70%,16.40%,21.70%,23.60%,22.70%,24.60%,Up,Up
DCAS,6a, FALSE,– Hybrid or alternative fuel vehicles in the DCAS-managed fleet (%),41%,56%,66%,74%,76%,75%,76%,Up,Up
DYCD,3a, FALSE,Participants in community anti-poverty programs,"22,657","23,403","19,128","19,480","18,928",*,*,Down,*
DYCD,3c, FALSE,Participants in immigrant services programs,"4,263","5,422","7,058","3,505","3,351",*,*,Down,*
HRA,5a, FALSE,Calls resolved within 48 hours to the customer service call line for vendors (%),67.70%,69.40%,71.00%,82.30%,80.70%,*,*,Up,Up
LAW,1a, TRUE,Total citywide payout for judgments and claims ($000),"$490,175","$579,899","$608,500","$655,873","$722,046",↓,↓,Up,Down
DEP,4b, FALSE,"Total revenue collected ($000,000)","$3,374.60","$3,612.30","$3,808.90","$3,852.60","$3,852.00","$3,622.80","$3,783.00",Up,Up
DHS,2b, FALSE,– Adult families,$96.97,$92.41,$97.31,$110.69,$138.13,*,*,Up,*
DOE,1a, TRUE,Average daily attendance (%),91.30%,91.10%,91.70%,91.90%,91.70%,92.90%,93.70%,Neutral,Up
NYPD,1a, FALSE,– Other incidents,"4,350","3,811","3,975","4,092","4,361",*,*,Neutral,Down
DYCD,1a, FALSE,Number of young people involved in DYCD-funded programs,"212,407","247,705","288,767","317,341","324,667",*,*,Up,Up
DEP,1b, TRUE,Facility security checks,"275,098","289,759","278,439","293,199","286,589","275,000","275,000",Neutral,Up
HPD,4a, FALSE,– Households assisted,"37,232","36,859","38,128","39,058","39,694",*,*,Neutral,Up
DOHMH,1b, FALSE,"Seniors, aged 65+, who reported receiving a flu shot in the last 12  months (%) (CY)",61.80%,66.80%,64.20%,65.50%,65.40%,68.00%,68.00%,Neutral,Up
OCME,1c, FALSE,Median time to process cremation requests (minutes),123.9,136,184.5,174.7,183.9,180,180,Up,Down
DOF,6a, FALSE,"– Parking summons revenue ($000,000)",$508,$588,$643,$642,$627,*,*,Up,*
SBS,3a, TRUE,Average acceptably clean BID sidewalk ratings (%),98.50%,96.50%,96.10%,96.80%,97.80%,97.00%,97.00%,Neutral,Up
DOI,3a, FALSE,Average wait time to speak with a customer service agent (minutes),3,3,3,3,3,*,*,Neutral,Down
DPR,1b, FALSE,Summonses issued,"11,809","16,310","15,323","21,176","20,907",*,*,Up,*
BOE,NA, FALSE,Voting equipment replacement rate - ballot marking devices (%),5.60%,0.90%,2.30%,0.50%,1.40%,*,*,Down,Down
FDNY,1c, FALSE,"Civilian fire fatalities per 100,000 people",0.6,1,0.7,0.8,0.5,*,*,Down,Down
NYPL-Research,NA, TRUE,Libraries open six days per week (%),75%,75%,100%,100%,100%,100%,100%,Up,Up
DCAS,7a, FALSE,– Fatalities resulting from collisions involving non-emergency City vehicles in the DCAS-managed fleet,NA,0,0,0,0,*,*,NA,Down
DOT,1b, FALSE,– Fair (%),29.80%,30.00%,29.30%,30.40%,29.60%,*,*,Neutral,Down
NYPD,5a, FALSE,Violations admitted to or upheld at the Environmental Control Board (%),62%,64%,66%,68%,60%,*,*,Neutral,*
NYPD,1a, TRUE,– Grand larceny auto,"7,615","7,536","7,548","6,935","5,931",↓,↓,Down,Down
DOE,2b, FALSE,Special education enrollment - School-age,"199,302","230,928","239,619","251,755","260,482",*,*,Up,*
